Overall Place,Name,Number of Events,Series Points,Battle Creek Fifty K Points,Seeley Hills Classic Points,Riverview Loppet Points,Noquemanon Points,Mt. Ashwabay Summit Ski Race Points,City of Lakes Loppet Points,Vasaloppet USA Points
1087,Nathan Strudle,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1088,Nathan Stock,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1089,Nathan Michels,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1090,Nathan Mccaughan,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1091,Nathan Keith,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1092,Nathan Kamm,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1093,Nathan Hohenshell,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1094,Nathan Haubrich,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1095,Nathan Grossklaus,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1096,Nathan Burke,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1097,Murray Dunsirn,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1098,Miles Kroll,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1099,Milan Patel,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1100,Mike Prucha,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1101,Mike Peterson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1102,Mike Marks,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1103,Mike Luke,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1104,Mike Haag,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1105,Mike Gerlach,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1106,Mike Garrity,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1107,Mike Appel,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1108,Mike Anderson,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1109,Michael Waltman,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1110,Michael Van Sicklen,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1111,Michael Sweet,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1112,Michael Stefonik,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1113,Michael Shirilla,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1114,Michael Ring,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1115,Michael Pivec,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1116,Michael Orr,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1117,Michael Miller,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1118,Michael Meehlhause,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1119,Michael Knudson,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1120,Michael Kittok,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1121,Michael Houle,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1122,Michael Holly,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1123,Michael Hanley,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1124,Michael Guertin,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1125,Michael Grant,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1126,Michael Fuchs,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1127,Michael Dilernia,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1128,Michael Bartkowski,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1129,Michael Arce,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1130,Micah Turman,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1131,Mcewan Rodefeld,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1132,Maxwell Winter,1,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
1133,Maxwell Turnberg,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1134,Maxwell Mapellentz,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1135,Maxemilian Lundgren,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1136,Max Wetzel,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1137,Max Owens,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1138,Max Anderson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1139,Matthew Webster,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1140,Matthew Trzynka,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1141,Matthew Pillifant,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1142,Matthew Nistler,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1143,Matthew Mckeever,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1144,Matthew Henderson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1145,Matthew Eystad,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1146,Matthew Allen,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1147,Matt Urbanowicz,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1148,Matt Thill,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1149,Matt Smock,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1150,Matt Riley,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1151,Matt Meyer,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1152,Matt Lindaman,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1153,Matt Liebsch,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1154,Matt Jacobson,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1155,Matt Hudson,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1156,Matt Cambio,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1157,Matt Abbotts,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1158,Mateusz Wozniak,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1159,Mason Bacso,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1160,Mason Arvidson,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1161,Mash Angolkar,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1162,Mary Clulo,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1163,Marty Ruddy,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1164,Marty Mattes,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1165,Martin Paulsen,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1166,Martin Carlsen,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1167,Marshall Sebero,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1168,Mark Vancleave,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1169,Mark Sennes,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1170,Mark Schulte,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1171,Mark Plane,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1172,Mark Muniz,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1173,Mark Meyer,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1174,Mark Klosterman,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1175,Mark Hughes,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1176,Mark Howard,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1177,Mark Hickman,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1178,Mark Femrite,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1179,Mark Erickson,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1180,Mark Cantrell,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1181,Mark Bostrom,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1182,Marcus Thymian,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1183,Marcel Derosier,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1184,Marc Ellingson,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1185,Magnus Olson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1186,MICHAEL SUND,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1187,MICHAEL CAVANAUGH,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1188,MARK RUSSELL,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1189,Lynn Stegeman,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1190,Luke Zupan,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1191,Luke Zimney,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1192,Luke Wood,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1193,Luke Rickbeil,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1194,Luke Popp,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1195,Luke Mackinnon,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1196,Luke Larson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1197,Luke Kubasta,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1198,Luke Kazmier,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1199,Luke Johnson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1200,Luke Gesior,1,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
1201,Lukas Swoboda,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1202,Lucas Vold,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1203,Lucas Couzens,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1204,Louie Seliga,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1205,Lou Smith,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1206,Loren Jacot,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1207,Logan Newman,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1208,Logan Kittok,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1209,Liam Toft,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1210,Liam Stueber,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1211,Liam Mcaleavy,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1212,Liam Lang,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1213,Liam Fife,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1214,Lewis Vendlinski,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1215,Lewis Doncavage,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1216,Levi Smith,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1217,Levi Ethen,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1218,Leo Rotar,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1219,Leo Moulsoff,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1220,Leo Bramante,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1221,Leif Jensen,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1222,Leif Devaney,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1223,Lee Dilley,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1224,Leandro Ribeiro,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1225,Lars Gunderson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1226,Lars Gaalaas,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1227,Lance Karel,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1228,Lance Hastings,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1229,Lake Dolan,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1230,Laithen Allen,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1231,Kyle Tomesh,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1232,Kyle Thomas,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1233,Kyle Rosenberg,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1234,Kyle Rambo,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1235,Kyle Metzger,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1236,Kyle Gamoke,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1237,Kurt Waltenbaugh,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1238,Kurt Terhune,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1239,Kurt Stromberg,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1240,Kurt Janko,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1241,Kurt Garvens,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1242,Kristopher Gerber,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1243,Kristofer Johnson,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1244,Kory Lasker,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1245,Kory Freeberg,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1246,Kevin Wood,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1247,Kevin Wendland,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1248,Kevin Roell,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1249,Kevin Overgaard,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1250,Kevin Ousdigian,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1251,Kevin Mccann,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1252,Kevin Maki,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1253,Kevin Dubay,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1254,Kevin Bjork,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1255,Kent Johnson,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1256,Kenneth Persons,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1257,Ken Englert,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1258,Kelenn Perkins,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1259,Kelby Youngberg,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1260,Keith Kreag,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1261,Keevan Simmonds,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1262,Keelan Mcnulty,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1263,Karl Schroeder,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1264,Karl Larson,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1265,Kalvin Kytta,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1266,Kaleb Holmes,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1267,Kaden Halverson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1268,KIRK SPENCER,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1269,Justus Olson,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1270,Justin Wild,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1271,Justin Nickila,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1272,Justin Hauter,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1273,Justin Anderson,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1274,Julian Irwin,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1275,Juan Losada,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1276,Josiah Loosbrock,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1277,Joshua Thompson,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1278,Joshua Smith,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1279,Joshua Kline,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1280,Joshua Brinkman,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1281,Josh Wiczek,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1282,Josh Schubitzke,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1283,Josh Krueger,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1284,Josh Johnson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1285,Josh Augustine,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1286,Joseph Prince,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1287,Joseph Peng,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1288,Joseph Meiser,1,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
1289,Joseph Eisenberg,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1290,Joseph Dvorak,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1291,Joseph Barnes,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1292,Josef Simon,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1293,Jordan Sewell,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1294,Jordan Roessingh,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1295,Jordan Bergstrom,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1296,Jonathon Rulseh,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1297,Jonathan Williams,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1298,Jonathan Stinson,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1299,Jonathan Sanborn,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1300,Jonathan Nyhus,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1301,Jonathan Hahn,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1302,Jonathan Banitt,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1303,Jon Varner,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1304,Jon Shorter,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1305,Jon Purintun,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1306,Jon Pohlman,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1307,Jon Pease,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1308,Jon Larson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1309,Jon Eversoll,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1310,Jon Dennis,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1311,Johnny Nemeth,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1312,John Benjamin Ekenes,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1313,John Steiner-Manning,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1314,John Stanifer,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1315,John Sickler,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1316,John Schweiss,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1317,John Salisbury,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1318,John Riley,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1319,John Meisner,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1320,John Mckenzie,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1321,John Mattson,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1322,John Lynch,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1323,John Linden,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1324,John Lindblom,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1325,John Layton,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1326,John Kramschuster,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1327,John Kallemeyn,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1328,John Jereczek,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1329,John Ipsen,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1330,John Hutchison,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1331,John Horns,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1332,John Hansen,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1333,John Focke,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1334,John Failor,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1335,John Daniels,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1336,John Conry,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1337,John Clement,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1338,John Bellamy,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1339,Joey Keillor,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1340,Joey Janzen,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1341,Joel Poliskey,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1342,Joel Paulson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1343,Joel Knutson,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1344,Joe Stemig,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1345,Joe Schetter,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1346,Joe Schaeppi,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1347,Joe Polacheck,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1348,Joe Mueller,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1349,Joe Martin,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1350,Joah Schultz,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1351,Jim Padden,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1352,Jim Musil,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1353,Jim Ferris,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1354,Jim Didomenico,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1355,Jim Daggett,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1356,Jesse Sebero,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1357,Jesse Longley,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1358,Jesse Cain,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
1359,Jess Lewis,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1360,Jerry Werle,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1361,Jeremy Kunkel,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1362,Jeremy Hill,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1363,Jeremy Glynn,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1364,Jeremiah Schubitzke,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1365,Jeremiah Schimp,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1366,Jeremiah Menk,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1367,Jeramie Johnson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1368,Jeffrey Smith,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1369,Jeffrey Olson,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1370,Jeffery Gray,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1371,Jeff Ryan,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1372,Jeff Pritzl,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1373,Jeff Pike,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1374,Jeff Hyypio,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1375,Jeff Houseman,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1376,Jeff Holm,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1377,Jeff Hokeness,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1378,Jeff Evanson,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1379,Jeff Diiro,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1380,Jeff Denney,1,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1381,Jeff Cummisford,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1382,Jay Ruthenbeck,1,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
1383,Jason Morrison,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1384,Jason Klabon,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1385,Jason Hoppe,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1386,Jason Homa,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1387,Jason Hoffe,1,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
1388,Jason Dalebroux,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
1389,Jason Brent,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1390,Jason Bolz,1,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
